run_name,file_path,class,dataset
04-2024_05_OnlyTemplateDNA,results/04-2024_05_OnlyTemplateDNA/template_N0_revComTemplate/align-plots/peptide_signals.tsv,DNA,
05-2024_07_POC2-PolyAthreading,results/05-2024_07_POC2-PolyAthreading/template_N0_revComTemplate/align-plots/peptide_signals.tsv,BCAR3,
06-2024_09_ssDNA,results/06-2024_09_ssDNA/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,
07-2024_11-YLDS-PolyA,results/07-2024_11-YLDS-PolyA/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,train
08-2024_11-IMDR-dsDNA,results/08-2024_11-IMDR-dsDNA/template_N0_revComTemplate/align-plots/peptide_signals.tsv,BCAR3,train
09_2024_12_YLDS-dsDNA-highconc,results/09_2024_12_YLDS-dsDNA-highconc/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,
10_2025_03_YLDS-ssDNA-01,results/10_2025_03_YLDS-ssDNA-01/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,test
11_2025_03_YLDS-ssDNA-02,results/11_2025_03_YLDS-ssDNA-02/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,train
12_2025_03_YLDS-ssDNA-03,results/12_2025_03_YLDS-ssDNA-03/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,train
13_2025_03_YLDS-dsDNA-01,results/13_2025_03_YLDS-dsDNA-01/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,
14_2025_03_YLDS-dsDNA-02,results/14_2025_03_YLDS-dsDNA-02/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,
15_2025_03_YLDS-dsDNA-03,results/15_2025_03_YLDS-dsDNA-03/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT,
16_2025_04_ßCAT20,results/16_2025_04_ßCAT20/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT20,
17_2025_04_ßCAT30,results/17_2025_04_ßCAT30/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT30,train
18_2025_04_ßCAT40,results/18_2025_04_ßCAT40/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT35,train
19_2025_04_ßCATD,results/19_2025_04_ßCATD/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATD,train
20_2025_04_ßCATW,results/20_2025_04_ßCATW/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATW,train
21_2025_04_ßCATL,results/21_2025_04_ßCATL/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATL,train
22_2025_04_smallAAs,results/22_2025_04_smallAAs/template_N0_revComTemplate/align-plots/peptide_signals.tsv,SZsmall,train
23_2025_04_largeAAs,results/23_2025_04_largeAAs/template_N0_revComTemplate/align-plots/peptide_signals.tsv,SZlarge,test
25_2025_04_StrgHydrophob,results/25_2025_04_StrgHydrophob/template_N0_revComTemplate/align-plots/peptide_signals.tsv,βCATHphob,train
24_2025_04_Modhydrophob,results/24_2025_04_Modhydrophob/template_N0_revComTemplate/align-plots/peptide_signals.tsv,βCATHmod,train
26_2025_05_StrgHydrophil,results/26_2025_05_StrgHydrophil/template_N0_revComTemplate/align-plots/peptide_signals.tsv,βCATHphil,train
27_2025_05_negativG,results/27_2025_05_negativG/template_N0_revComTemplate/align-plots/peptide_signals.tsv,CHGnegG,train
33_2025_05_ßCATWW,results/33_2025_05_ßCATWW/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATWW,train
28_2025_05_positiveD,results/28_2025_05_positiveD/template_N0_revComTemplate/align-plots/peptide_signals.tsv,CHGposD,
29_2025_05_positiveL,results/29_2025_05_positiveL/template_N0_revComTemplate/align-plots/peptide_signals.tsv,CHGposL,
31_2025_05_ßCATInsFront,results/31_2025_05_ßCATInsFront/template_N0_revComTemplate/align-plots/peptide_signals.tsv,βCATins1,train
32_2025_05_ßCATGG,results/32_2025_05_ßCATGG/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATGG,train
34_2025_05_ßCATWWW,results/34_2025_05_ßCATWWW/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATWWW,train
30_2025_05_ßCATInsBack,results/30_2025_05_ßCATInsBack/template_N0_revComTemplate/align-plots/peptide_signals.tsv,βCATins2,train
37_2025_06_largeAAs,results/37_2025_06_largeAAs/template_N0_revComTemplate/align-plots/peptide_signals.tsv,SZlarge,train
38_2025_06_ßCATWW,results/38_2025_06_ßCATWW/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATWW,test
40_2025_06_unknown,results/40_2025_06_unknown/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCAT20,
42_2025_06_unknown3,results/42_2025_06_unknown3/template_N0_revComTemplate/align-plots/peptide_signals.tsv,unknown3,test
41_2025_06_unknown2,results/41_2025_06_unknown2/template_N0_revComTemplate/align-plots/peptide_signals.tsv,unknown2,test
43_2025_08_ßCATD,results/43_2025_08_ßCATD/template_N0_revComTemplate/align-plots/peptide_signals.tsv,ßCATD,test
44_2025_08_unknown2_repeat,results/44_2025_08_unknown2_repeat/template_N0_revComTemplate/align-plots/peptide_signals.tsv,unknown2Rep,test
